,coordenada_x,coordenada_y,Zona
151,5432169.29,6357259.61,4
152,5432169.29,6357259.61,4
153,5439394.810221511,6348055.776829689,3
154,5439394.810221511,6348055.776829689,3
155,5439394.810221511,6348055.776829689,3
156,5439394.810221511,6348055.776829689,3
157,5439394.810221511,6348055.776829689,3
158,5439394.810221511,6348055.776829689,3
159,5439394.810221511,6348055.776829689,3
162,5432607.804918493,6357656.401623979,4
163,5434563.360347968,6360579.696666809,6
164,5434563.360347968,6360579.696666809,6
166,5439116.265711815,6350505.435723054,3
167,5439116.265711815,6350505.435723054,3
181,5441256.04,6350060.300000002,3
182,5441256.04,6350060.300000002,3
183,5441256.04,6350060.300000002,3
184,5441256.04,6350060.300000002,3
185,5441256.04,6350060.300000002,3
186,5441256.04,6350060.300000002,3
187,5441256.04,6350060.300000002,3
188,5441256.04,6350060.300000002,3
189,5441256.04,6350060.300000002,3
190,5441256.04,6350060.300000002,3
191,5441256.04,6350060.300000002,3
192,5441256.04,6350060.300000002,3
193,5441256.04,6350060.300000002,3
196,5430971.400134972,6362248.254187869,2
197,5430971.400134972,6362248.254187869,2
199,5435601.585,6351413.27,7
206,5440627.08258695,6353780.628372855,1
207,5440627.08258695,6353780.628372855,1
208,5440627.08258695,6353780.628372855,1
212,5439101.828207917,6349911.256754006,3
213,5439101.828207917,6349911.256754006,3
214,5437261.995926819,6353192.788116859,7
216,5433837.44982443,6356288.71033426,0
221,5440701.189033742,6354299.39112848,1
222,5440701.189033742,6354299.39112848,1
223,5440701.189033742,6354299.39112848,1
225,5438396.375,6352790.7,7
226,5438396.375,6352790.7,7
227,5435170.346387041,6351630.299874649,7
229,5434456.65,6359423.54,6
230,5434859.887130315,6356451.698750006,5
232,5434894.873351599,6355824.93164085,5
242,5438769.279673344,6347348.833564683,8
243,5438769.279673344,6347348.833564683,8
244,5438908.186216115,6349458.169469382,8
245,5438908.186216115,6349458.169469382,8
246,5434069.79,6355777.03,0
247,5440514.988162165,6355480.495224968,9
248,5440514.988162165,6355480.495224968,9
249,5440514.988162165,6355480.495224968,9
250,5440514.988162165,6355480.495224968,9
255,5433905.370948361,6359917.197727999,6
260,5436250.39636581,6357152.830382478,5
261,5436250.39636581,6357152.830382478,5
262,5436250.39636581,6357152.830382478,5
263,5436250.39636581,6357152.830382478,5
264,5436250.39636581,6357152.830382478,5
265,5436250.39636581,6357152.830382478,5
269,5433004.83,6356111.14,0
270,5433004.83,6356111.14,0
271,5433004.83,6356111.14,0
272,5433004.83,6356111.14,0
273,5433004.83,6356111.14,0
274,5433004.83,6356111.14,0
275,5433004.83,6356111.14,0
276,5433004.83,6356111.14,0
289,5432053.6957771685,6358396.658233563,4
296,5435070.482243205,6357362.950544629,5
297,5435070.482243205,6357362.950544629,5
